model,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean,Yloss,death %
ldsize_0.0,0.8795952864566912,1.1030966987407302,1.318354127651986,1.8303930767879635,2.2337790781549858,2.992348731711537,3.3701435550542977,3.6330499880598914,3.713530147119427,2.360578651393479,0.43614922051510296,0.3487741928148643
ldlength_0.16666666666666666,1.111753741997086,1.3883450807869488,1.649637285192374,2.1855819418559936,2.69888371586673,3.376995780933709,3.752038126345198,4.086607012083279,4.119864133288319,2.7192982680055584,0.5112300470380906,0.27432690670615684
ldlength_0.3333333333333333,1.218729103626201,1.5195593159464111,1.8103205514634242,2.3340339345286156,2.8806865846392635,3.583655445330077,3.9627780740845138,4.330585780810091,4.366626968976745,2.899174320820453,0.5451240720928264,0.244771523530729
ldlength_0.5,1.3214557500152668,1.6387577232768615,1.968784166201863,2.4909840181214884,3.031112804686545,3.7953214976170715,4.160962702626022,4.584930760612834,4.623267429682319,3.0849702085140134,0.5798522801554721,0.23355994249422718
ldlength_0.6666666666666666,1.478041492545461,1.8197887896382405,2.1800765828837125,2.7555269299438203,3.3267209489512606,4.112895452705325,4.477617413946295,4.9805137099851855,5.02221252386675,3.3738431099334294,0.6289824107518657,0.23573217878917574
ldlength_1.0,1.6898152402029014,2.0717512180829796,2.4938357521629633,3.0921603040407715,3.7317334678490175,4.581653527070865,4.93139638075616,5.545590506915894,5.593663151331321,3.779692038728338,0.7042046322770743,0.2309008823179592
ldlength_1.3333333333333333,1.8974427120042505,2.3249374640087077,2.794278888930891,3.4511495207669753,4.135973868667717,5.038710216694149,5.408594136848062,6.095480211449828,6.148847382753731,4.174759582007094,0.7786893059791714,0.22731538207759813
ldlength_1.5,1.9840203597393837,2.4345522133225064,2.924620797780956,3.6096598797724933,4.307784977327633,5.2208737912077865,5.603605957767583,6.321428041263224,6.376886679376607,4.3379534442026895,0.8106876188859098,0.22396004711927472
ldlength_2.0,2.2615236634105473,2.7815927918326886,3.2965733418737515,4.056360910666619,4.863192432971848,5.845286806064905,6.214878024865165,7.024597065658082,7.087597844304445,4.848318004773347,0.9079757079926045,0.21677552434142985
ldlength_3.0,2.7920677795272653,3.4055794242214814,3.94681928802064,4.953075086618881,5.958813074351446,6.922591055060212,7.465511035326712,8.393443494832667,8.469840900664202,5.836471651941519,1.109304009922665,0.19609125248826711
ldlength_4.0,3.2570012811375237,3.9596543197698844,4.453137098749359,5.705770705022369,6.870933376705919,7.832473452952561,8.586515621803882,9.573925447474371,9.663486894251806,6.691383867034351,1.2982864690376366,0.1722144879541695
ldlength_4.5,3.4753967596007724,4.208013732093251,4.691996984488543,6.010329069924877,7.289395226445033,8.229669887709585,9.00226566709387,10.103250612842956,10.20174575145997,7.075876943402663,1.3872114143647678,0.14218786505705616
ldlength_5.0,3.6089673690695436,4.342237795834716,4.784785967497772,6.131378730552198,7.43375187011047,8.326194009741373,9.12271480009938,10.277052822713031,10.379384940534445,7.224125789753744,1.4318224954823444,0.07851050606045588
ldlength_5.666666666666667,3.8562433409535046,4.626564950246783,5.048326785070897,6.430038804353678,7.776030759853425,8.7751199614499,9.634621852592725,10.848078559247755,10.962690191869408,7.635670721086877,1.5352023101011807,0.046366827931454774
